EF,ACC,page,author,year,experiment,family,genus,species,plant_type,defence_type_specific,trait_category,experiment_type,study_type,plant_lifestage_2,Nfixing,density,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_mixture,SD_mixture,N_mixture,data_source,notes,yi,vi
ef966,53,107,"Davrinche, A",2021,BEF China,Nyssaceae,Nyssa,Nyssa sinensis,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.642,8,2.023,N/A,0.075,2,1.885,N/A,0.195,2,extra data request,,-0.527019912,1.034718748
ef967,53,108,"Davrinche, A",2021,BEF China,Nyssaceae,Nyssa,Nyssa sinensis,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,NA,24,2.023,N/A,0.075,2,1.556,N/A,0.066,2,extra data request,,-3.729665766,2.738800841
ef968,53,109,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.029,2,10.082,N/A,0.139,2,10.637,N/A,2.031,2,extra data request,,0.217524608,1.005914619
ef969,53,110,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.262,8,10.082,N/A,0.139,2,16.19,N/A,3.557,3,extra data request,,1.521228196,1.064746856
ef970,53,111,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,10.082,N/A,0.139,2,16.971,N/A,1.854,2,extra data request,,2.956441971,2.092568641
ef971,53,112,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.029,2,515.382,N/A,6.468,2,528.31,N/A,4.059,2,extra data request,,1.350821622,1.228089882
ef972,53,113,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.331,4,515.382,N/A,6.468,2,469.823,N/A,62.669,2,extra data request,,-0.576979844,1.041613218
ef973,53,114,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.262,8,515.382,N/A,6.468,2,511.33,N/A,16.189,3,extra data request,,-0.213461823,0.837889928
ef974,53,115,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,515.382,N/A,6.468,2,457.787,N/A,50.348,2,extra data request,,-0.905290964,1.102443966
ef975,53,116,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.029,2,48.431,N/A,0.412,2,48.804,N/A,0.427,2,extra data request,,0.501571132,1.0314467
ef976,53,117,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.331,4,48.431,N/A,0.412,2,48.33,N/A,0.045,2,extra data request,,-0.194441535,1.004725939
ef977,53,118,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.262,8,48.431,N/A,0.412,2,48.246,N/A,0.104,3,extra data request,,-0.530014719,0.861424894
ef978,53,119,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,48.431,N/A,0.412,2,48.158,N/A,0.562,2,extra data request,,-0.312585433,1.012213707
ef979,53,120,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.029,2,2.049,N/A,0.083,2,1.861,N/A,0.059,2,extra data request,,-1.473019624,1.271223351
ef980,53,121,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.331,4,2.049,N/A,0.083,2,1.983,N/A,0.253,2,extra data request,,-0.197773002,1.00488927
ef981,53,122,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus fabri,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.262,8,2.049,N/A,0.083,2,1.918,N/A,0.025,3,extra data request,,-1.819892394,1.164534166
ef982,53,123,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.045,2,10.442,N/A,1.552,2,10.909,N/A,0.75,2,extra data request,,0.216167653,1.005841057
ef983,53,124,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,10.442,N/A,1.552,2,19.498,N/A,0.224,2,extra data request,,4.607950531,3.654151012
ef984,53,125,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.045,2,510.863,N/A,6.55,2,485.856,N/A,31.343,2,extra data request,,-0.623130646,1.048536475
ef985,53,126,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.238,4,510.863,N/A,6.55,2,457.663,N/A,9.289,2,extra data request,,-3.734569715,2.74337637
ef986,53,127,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.356,8,510.863,N/A,6.55,2,426.714,N/A,16.024,2,extra data request,,-3.878525108,2.880369626
ef987,53,128,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,510.863,N/A,6.55,2,445.792,N/A,16.538,2,extra data request,,-2.918796744,2.064921804
ef988,53,129,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.045,2,48.889,N/A,0.195,2,47.904,N/A,0.548,2,extra data request,,-1.351159688,1.228204063
ef989,53,130,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.238,4,48.889,N/A,0.195,2,47.632,N/A,0.225,2,extra data request,,-3.368495482,2.418345227
ef990,53,131,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.356,8,48.889,N/A,0.195,2,47.64,N/A,0.032,2,extra data request,,-5.043099555,4.17910664
ef991,53,132,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,48.889,N/A,0.195,2,47.977,N/A,0.264,2,extra data request,,-2.217097088,1.614439937
ef992,53,133,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.045,2,1.765,N/A,0.05,2,1.717,N/A,0.178,2,extra data request,,-0.207142808,1.005363518
ef993,53,134,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.238,4,1.765,N/A,0.05,2,2.014,N/A,0.106,2,extra data request,,1.695154424,1.359193565
ef994,53,135,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.356,8,1.765,N/A,0.05,2,2.005,N/A,0.066,2,extra data request,,2.312681886,1.668562188
ef995,53,136,"Davrinche, A",2021,BEF China,Fagaceae,Quercus,Quercus serrata,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.309,16,1.765,N/A,0.05,2,1.915,N/A,0.094,2,extra data request,,1.124090822,1.157947522
ef996,53,137,"Davrinche, A",2021,BEF China,Anacardiaceae,Rhus,Rhus chinensis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.449,4,10.525,N/A,0.71,2,15.992,N/A,2.351,2,extra data request,,1.776166333,1.394345855
ef997,53,138,"Davrinche, A",2021,BEF China,Anacardiaceae,Rhus,Rhus chinensis,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.449,4,458.404,N/A,46.274,2,457.661,N/A,68.36,2,extra data request,,-0.007181513,1.000006447
ef998,53,139,"Davrinche, A",2021,BEF China,Anacardiaceae,Rhus,Rhus chinensis,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.449,4,49.569,N/A,0.275,2,48.645,N/A,0.245,2,extra data request,,-2.001714493,1.500857614
ef999,53,140,"Davrinche, A",2021,BEF China,Anacardiaceae,Rhus,Rhus chinensis,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.449,4,1.546,N/A,0.236,2,1.776,N/A,0.108,2,extra data request,,0.70707724,1.062494778
ef1000,53,141,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.437,16,15.111,N/A,4.612,2,14.292,N/A,6.165,2,extra data request,,-0.084874658,1.000900463
ef1001,53,142,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.269,2,419.283,N/A,31.319,2,376.493,N/A,28.672,2,extra data request,,-0.804060818,1.080814225
ef1002,53,143,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.451,4,419.283,N/A,31.319,2,383.243,N/A,5.458,2,extra data request,,-0.904524341,1.102270536
ef1003,53,144,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.435,8,419.283,N/A,31.319,2,335.569,N/A,12.282,2,extra data request,,-1.985487979,1.492770314
ef1004,53,145,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.437,16,419.283,N/A,31.319,2,433.096,N/A,97.654,2,extra data request,,0.107467797,1.001443666
ef1005,53,146,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.269,2,47.044,N/A,0.526,2,46.477,N/A,0.347,2,extra data request,,-0.717928806,1.064427721
ef1006,53,147,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.435,8,47.044,N/A,0.526,2,46.132,N/A,0.222,2,extra data request,,-1.274537873,1.203055849
ef1007,53,148,"Davrinche, A",2021,BEF China,Sapindaceae,Sapindus,Sapindus mukorossi,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.437,16,47.044,N/A,0.526,2,47.532,N/A,2.054,2,extra data request,,0.183639643,1.00421544
ef1008,53,149,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.266,2,12.908,N/A,1.705,2,14.931,N/A,5.895,2,extra data request,,0.263031057,1.008648167
ef1009,53,150,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.298,4,12.908,N/A,1.705,2,15.441,N/A,3.81,2,extra data request,,0.484185997,1.02930451
ef1010,53,151,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.416,8,12.908,N/A,1.705,2,19.199,N/A,1.164,2,extra data request,,2.431403564,1.738965412
ef1011,53,152,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.424,16,12.908,N/A,1.705,2,15.587,N/A,2.163,4,extra data request,,1.038606533,0.839891961
ef1012,53,153,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.266,2,430.478,N/A,26.021,2,398.379,N/A,87.543,2,extra data request,,-0.280430926,1.009830188
ef1013,53,154,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.298,4,430.478,N/A,26.021,2,376.225,N/A,8.505,2,extra data request,,-1.58124446,1.312541755
ef1014,53,155,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.424,16,430.478,N/A,26.021,2,389.359,N/A,22.815,4,extra data request,,-1.386813419,0.910270955
ef1015,53,156,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.266,2,46.455,N/A,0.047,2,46.473,N/A,0.238,2,extra data request,,0.059200894,1.000438093
ef1016,53,157,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.298,4,46.455,N/A,0.047,2,46.388,N/A,0.393,2,extra data request,,-0.135063679,1.002280275
ef1017,53,158,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.416,8,46.455,N/A,0.047,2,46.642,N/A,0.046,2,extra data request,,2.26876029,1.643409157
ef1018,53,159,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.424,16,46.455,N/A,0.047,2,46.425,N/A,0.257,4,extra data request,,-0.106952302,0.750953233
ef1019,53,160,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.266,2,1.337,N/A,0.038,2,1.783,N/A,0.43,2,extra data request,,0.824360575,1.084946295
ef1020,53,161,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.298,4,1.337,N/A,0.038,2,1.792,N/A,0.303,2,extra data request,,1.188830811,1.176664837
ef1021,53,162,"Davrinche, A",2021,BEF China,Euphorbiaceae,Sapium,Triadica sebifera,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.424,16,1.337,N/A,0.038,2,1.683,N/A,0.111,4,extra data request,,2.817351041,1.411455574
ef1022,53,163,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.367,2,12.565,N/A,0.035,2,11.46,N/A,0.716,2,extra data request,,-1.229903562,1.189082846
ef1023,53,164,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.55,4,12.565,N/A,0.035,2,9.395,N/A,1.489,3,extra data request,,-1.886468355,1.189209619
ef1024,53,165,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,0.6,0.653,16,12.565,N/A,0.035,2,10.886,N/A,3.095,2,extra data request,,-0.432815033,1.023416107
ef1025,53,166,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.367,2,393.104,N/A,5.481,2,401.705,N/A,1.016,2,extra data request,,1.231099358,1.189450704
ef1026,53,167,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.55,4,393.104,N/A,5.481,2,464.97,N/A,17.333,3,extra data request,,3.585920779,2.119216116
ef1027,53,168,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.642,8,393.104,N/A,5.481,2,447.597,N/A,32.451,2,extra data request,,1.321127536,1.218172246
ef1028,53,169,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,LDMC,LDMC,field,experimental,juvenile,No N-fixing neighbours,0.6,0.653,16,393.104,N/A,5.481,2,425.035,N/A,35.199,2,extra data request,,0.715187466,1.063936639
ef1029,53,170,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.367,2,49.193,N/A,0.264,2,49.24,N/A,0.174,2,extra data request,,0.118603834,1.001758359
ef1030,53,171,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.55,4,49.193,N/A,0.264,2,49.102,N/A,0.244,3,extra data request,,-0.262504736,0.840224207
ef1031,53,172,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.642,8,49.193,N/A,0.264,2,48.931,N/A,0.053,2,extra data request,,-0.776349673,1.075339852
ef1032,53,173,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.6,0.653,16,49.193,N/A,0.264,2,49.011,N/A,0.68,2,extra data request,,-0.199074875,1.004953851
ef1033,53,174,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.367,2,1.533,N/A,0.009,2,1.411,N/A,0.057,2,extra data request,,-1.686855088,1.355685011
ef1034,53,175,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.642,8,1.533,N/A,0.009,2,1.161,N/A,0.132,2,extra data request,,-2.243375351,1.629091621
ef1035,53,176,"Davrinche, A",2021,BEF China,Theaceae,Schima,Schima superba,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.6,0.653,16,1.533,N/A,0.009,2,1.322,N/A,0.092,2,extra data request,,-1.821237077,1.414613062
ef1039,54,4,"Gibbs, M",NA,Climate Match Hucking,Fagaceae,Quercus,Quercus robur,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,49.278,N/A,0.481,3,48.944,N/A,0.68,3,extra data request,Species mixture,-0.45247708,0.683728
ef1043,54,8,"Gibbs, M",NA,Climate Match Hucking,Fagaceae,Quercus,Quercus robur,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,2.179,N/A,0.092,3,2.111,N/A,0.27,3,extra data request,Species mixture,-0.268997242,0.6726966
ef1050,54,15,"Gibbs, M",NA,Climate Match Hucking,Fagaceae,Quercus,Quercus robur,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,49.611,N/A,0.283,3,49.111,N/A,0.419,3,extra data request,Species mixture,-1.115840615,0.770425
ef1053,54,18,"Gibbs, M",NA,Climate Match Hucking,Fagaceae,Quercus,Quercus robur,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,2.089,N/A,0.119,3,2.058,N/A,0.126,3,extra data request,Species mixture,-0.201831281,0.6700613
ef1057,54,22,"Gibbs, M",NA,Climate Match Hartshorne,Fagaceae,Quercus,Quercus robur,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,49.544,N/A,1.165,3,49.367,N/A,0.377,2,extra data request,Species mixture,-0.131253256,0.8350561
ef1061,54,26,"Gibbs, M",NA,Climate Match Hartshorne,Fagaceae,Quercus,Quercus robur,woody,N,C,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,2.069,N/A,0.105,3,1.882,N/A,0.007,2,extra data request,Species mixture,-1.576577173,1.0818929
ef1068,54,33,"Gibbs, M",NA,Climate Match Hartshorne,Fagaceae,Quercus,Quercus robur,woody,C,C,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,48.944,N/A,1.204,3,49.367,N/A,0.566,2,extra data request,Species mixture,0.295460995,0.8420631
ef1071,54,36,"Gibbs, M",NA,Climate Match Hartshorne,Fagaceae,Quercus,Quercus robur,woody,N,N,field,experimental,juvenile,No N-fixing neighbours,0.25,0.25,4,1.801,N/A,0.111,3,1.732,N/A,0.12,2,extra data request,Species mixture,-0.437666192,0.8524885
ef1072,55,1,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,flavonoids,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.5,2,338.742,N/A,33.867,2,303.558,N/A,29.675,2,extra data request,Bp + Larix kaempferi,-0.623442418,1.048585056
ef1073,55,2,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,flavonoids,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.071,2,338.742,N/A,33.867,2,312.284,N/A,9.826,2,extra data request,Bp + Quercus petraea,-0.598645874,1.04479711
ef1074,55,3,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,flavonoids,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,338.742,N/A,33.867,2,392.305,N/A,80.534,2,extra data request,"Bp + Larix kaempferi,  Quercus petraea, Pinus Sylvestris ",0.489176844,1.029911748
ef1075,55,4,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,flavonoids,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.75,4,338.742,N/A,33.867,2,319.203,N/A,16.038,2,extra data request,"Bp + Larix kaempferi, Pinus Sylvestris, Pseudotsuga menziesii",-0.416034438,1.021635582
ef1076,55,5,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,flavonoids,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,338.742,N/A,33.867,2,283.78,N/A,82.243,2,extra data request,"Bp + Pinus Sylvestris, Pseudotsuga menziesii, Quercus petraea",-0.493048976,1.030387162
ef1077,55,6,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.5,2,79.979,N/A,15.657,2,95.139,N/A,25.126,2,extra data request,Bp + Larix kaempferi,0.408576916,1.020866887
ef1078,55,7,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.071,2,79.979,N/A,15.657,2,90.19,N/A,6.991,2,extra data request,Bp + Quercus petraea,0.475141599,1.028219942
ef1079,55,8,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,79.979,N/A,15.657,2,114.61,N/A,43.97,2,extra data request,"Bp + Larix kaempferi,  Quercus petraea, Pinus Sylvestris ",0.592005931,1.043808878
ef1080,55,9,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.75,4,79.979,N/A,15.657,2,110.724,N/A,2.485,2,extra data request,"Bp + Larix kaempferi, Pinus Sylvestris, Pseudotsuga menziesii",1.547404068,1.299307419
ef1081,55,10,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,79.979,N/A,15.657,2,93.559,N/A,40.5,2,extra data request,"Bp + Pinus Sylvestris, Pseudotsuga menziesii, Quercus petraea",0.249539351,1.007783736
ef1082,55,11,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,condensed tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.5,2,0.626,N/A,0.225,2,0.558,N/A,0.007,2,extra data request,Bp + Larix kaempferi,-0.241021831,1.00726144
ef1083,55,12,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,condensed tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.071,2,0.626,N/A,0.225,2,0.573,N/A,0.035,2,extra data request,Bp + Quercus petraea,-0.185712677,1.00431115
ef1084,55,13,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,condensed tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,0.626,N/A,0.225,2,0.564,N/A,0.102,2,extra data request,"Bp + Larix kaempferi,  Quercus petraea, Pinus Sylvestris ",-0.200245896,1.005012302
ef1085,55,14,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,condensed tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.75,4,0.626,N/A,0.225,2,0.583,N/A,0.012,2,extra data request,"Bp + Larix kaempferi, Pinus Sylvestris, Pseudotsuga menziesii",-0.1522682,1.002898201
ef1086,55,15,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,condensed tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,0.626,N/A,0.225,2,0.493,N/A,0.17,2,extra data request,"Bp + Pinus Sylvestris, Pseudotsuga menziesii, Quercus petraea",-0.376304891,1.017700671
ef1087,55,16,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,hydrolysable tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.5,2,0.014,N/A,0,2,0.017,N/A,0.003,2,extra data request,Bp + Larix kaempferi,0.797884561,1.079577472
ef1088,55,17,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,hydrolysable tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.071,2,0.014,N/A,0,2,0.017,N/A,0.002,2,extra data request,Bp + Quercus petraea,1.196826841,1.179049311
ef1089,55,18,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,hydrolysable tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.536,4,0.014,N/A,0,2,0.021,N/A,0.004,2,extra data request,"Bp + Larix kaempferi,  Quercus petraea, Pinus Sylvestris ",1.396297981,1.243706007
ef1090,55,19,"Poeydebat, C",2020,FORBIO Hechtel Eksel,Betulaceae,Betula,Betula pendula,woody,hydrolysable tannins,phenolics,field,experimental,juvenile,No N-fixing neighbours,0.44,0.75,4,0.014,N/A,0,2,0.021,N/A,0.004,2,extra data request,"Bp + Larix kaempferi, Pinus Sylvestris, Pseudotsuga menziesii",1.396297981,1.243706007
