model,runtime,error,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
glmmTMB_RE,0.4599999999991269,NA,NA,-11.663176180116501,0.2825157986697858,0.09208105862967557,0.002154096200506881,0.12834175521887436,SMD_tau2=0.09_moderate,8,28
rma.uni,0.020000000000436557,NA,NA,-12.385574586414815,0.30075681434319557,0.09564726484259775,0.001664066432087821,0.14161380044924174,SMD_tau2=0.09_moderate,9,29
glmmTMB_RE,0.43999999999869033,NA,NA,-12.385574586414812,0.30075681424035994,0.09565413408435265,0.00166535113938818,0.1416137950894991,SMD_tau2=0.09_moderate,9,29
rma.uni,0.010000000002037268,NA,NA,-9.780230119447394,0.393199250598435,0.0834454066106297,2.452325359071833e-6,0.09779535424660335,SMD_tau2=0.09_moderate,10,30
glmmTMB_RE,0.3900000000030559,NA,NA,-9.780230119447396,0.39319925047765325,0.08345331486132333,2.457705916258563e-6,0.09779534947213087,SMD_tau2=0.09_moderate,10,30
rma.uni,0.00999999999839929,NA,NA,-10.540017671205195,3.768575418145667e-4,0.08679406680108379,0.9965356172314555,0.10992911048712346,SMD_tau2=0.09_null,1,31
glmmTMB_RE,0.41999999999825377,NA,NA,-10.540017671205181,3.7685753270528616e-4,0.08679412275509309,0.996535619548582,0.10992910599083584,SMD_tau2=0.09_null,1,31
rma.uni,0,NA,NA,-16.704293007476387,-0.07676308750635591,0.11983419441241809,0.5217972281829011,0.2457681725190786,SMD_tau2=0.09_null,2,32
glmmTMB_RE,0.4000000000014552,NA,NA,-16.704293007476245,-0.07676308740737184,0.11983433217861639,0.5217977073158122,0.24576812305445978,SMD_tau2=0.09_null,2,32
rma.uni,0,NA,NA,-11.181594636826645,-0.1788831187630573,0.08956858452135907,0.045807411326577396,0.11950096256393221,SMD_tau2=0.09_null,3,33
glmmTMB_RE,0.47999999999956344,NA,NA,-11.181594636826386,-0.17888311858133044,0.08956893085504666,0.04580825017101257,0.11950092473198189,SMD_tau2=0.09_null,3,33
rma.uni,0.00999999999839929,NA,NA,-5.342613878424247,0.03286256708245823,0.066074738039016,0.6189390984510859,0.04688656149661861,SMD_tau2=0.09_null,4,34
glmmTMB_RE,0.43000000000029104,NA,NA,-5.342613878419563,0.03286256658569677,0.06607490347777506,0.6189399817489695,0.046886474164763985,SMD_tau2=0.09_null,4,34
rma.uni,0,NA,NA,-10.345583310128408,-0.08004135832072465,0.085781102426666,0.3507742875118919,0.10641509093450927,SMD_tau2=0.09_null,5,35
