"","model","runtime","error","warn","logLik","est","se","pvalue","tau2","scenario","replicate","param_id","measure","dat_file"
"91","rma.uni",0,NA,NA,4.99110333676798,0.276917533421895,0.038450419372819,5.9362720126757e-13,0.0292341283070812,"lnRR_tau2=0.04_moderate",46,46,"lnRR","results/raw/lnRR/data/simdat_00046.rds"
"92","glmmTMB_RE",0.240000000000002,NA,NA,4.99110333676801,0.276917533431891,0.0384504763091079,5.93673643110194e-13,0.0292341268694649,"lnRR_tau2=0.04_moderate",46,46,"lnRR","results/raw/lnRR/data/simdat_00046.rds"
"93","rma.uni",0.00999999999999801,NA,NA,6.35843083282449,0.302221768352429,0.0357813795651664,3.0057237058157e-17,0.0252789224351458,"lnRR_tau2=0.04_moderate",47,47,"lnRR","results/raw/lnRR/data/simdat_00047.rds"
"94","glmmTMB_RE",0.219999999999999,NA,NA,6.35843083282447,0.302221768354046,0.0357813922400617,3.00580070040012e-17,0.0252789219946243,"lnRR_tau2=0.04_moderate",47,47,"lnRR","results/raw/lnRR/data/simdat_00047.rds"
"95","rma.uni",0.0200000000000031,NA,NA,2.13891676680375,0.289770811394753,0.0447017012554616,9.03217502297632e-11,0.0396297923758823,"lnRR_tau2=0.04_moderate",48,48,"lnRR","results/raw/lnRR/data/simdat_00048.rds"
"96","glmmTMB_RE",0.229999999999997,NA,NA,2.13891676680375,0.289770811393037,0.0447017776029586,9.03283803753901e-11,0.0396297926452178,"lnRR_tau2=0.04_moderate",48,48,"lnRR","results/raw/lnRR/data/simdat_00048.rds"
"97","rma.uni",0,NA,NA,3.43341096717528,0.254287151733781,0.0417279454029946,1.10172289884573e-09,0.0344921632583147,"lnRR_tau2=0.04_moderate",49,49,"lnRR","results/raw/lnRR/data/simdat_00049.rds"
"98","glmmTMB_RE",0.240000000000002,NA,NA,3.4334109671753,0.254287151733849,0.0417280451088836,1.101823169752e-09,0.0344921632498937,"lnRR_tau2=0.04_moderate",49,49,"lnRR","results/raw/lnRR/data/simdat_00049.rds"
"99","rma.uni",0,NA,NA,5.48750008935949,0.181832528935236,0.0374349156696217,1.18998627976246e-06,0.0276806563197163,"lnRR_tau2=0.04_moderate",50,50,"lnRR","results/raw/lnRR/data/simdat_00050.rds"
"100","glmmTMB_RE",0.229999999999997,NA,NA,5.48750008935945,0.18183252894147,0.0374350373193298,1.19008111086619e-06,0.027680655725905,"lnRR_tau2=0.04_moderate",50,50,"lnRR","results/raw/lnRR/data/simdat_00050.rds"
"101","rma.uni",0.0200000000000031,NA,NA,1.26284112086962,0.139056388099357,0.0467175864974758,0.00291528719017378,0.0432763822371832,"lnRR_tau2=0.04_moderate",51,51,"lnRR","results/raw/lnRR/data/simdat_00051.rds"
"102","glmmTMB_RE",0.25,NA,NA,1.26284112086989,0.139056388202443,0.046717844345487,0.00291544336652462,0.0432763728929408,"lnRR_tau2=0.04_moderate",51,51,"lnRR","results/raw/lnRR/data/simdat_00051.rds"
"103","rma.uni",0.0200000000000031,NA,NA,-0.0136103512862888,0.298070079752528,0.0500297227181212,2.55562423875281e-09,0.0497491460630498,"lnRR_tau2=0.04_moderate",52,52,"lnRR","results/raw/lnRR/data/simdat_00052.rds"
"104","glmmTMB_RE",0.229999999999997,NA,NA,-0.0136103512863244,0.29807007975269,0.0500297975303593,2.55576352446389e-09,0.0497491460326945,"lnRR_tau2=0.04_moderate",52,52,"lnRR","results/raw/lnRR/data/simdat_00052.rds"
"105","rma.uni",0.00999999999999801,NA,NA,3.53308512507621,0.331076107860522,0.0414691734197916,1.42047896534085e-15,0.0340926989207093,"lnRR_tau2=0.04_moderate",53,53,"lnRR","results/raw/lnRR/data/simdat_00053.rds"
"106","glmmTMB_RE",0.219999999999999,NA,NA,3.53308512507625,0.331076107890465,0.0414692637086994,1.42067910121595e-15,0.0340926950986461,"lnRR_tau2=0.04_moderate",53,53,"lnRR","results/raw/lnRR/data/simdat_00053.rds"
"107","rma.uni",0.0200000000000031,NA,NA,-0.936369624429144,0.260740568407555,0.0525350055229195,6.93490743898659e-07,0.0548655771488893,"lnRR_tau2=0.04_moderate",54,54,"lnRR","results/raw/lnRR/data/simdat_00054.rds"
"108","glmmTMB_RE",0.229999999999997,NA,NA,-0.936369624429133,0.260740568407547,0.0525350565944446,6.93507979159513e-07,0.054865577150858,"lnRR_tau2=0.04_moderate",54,54,"lnRR","results/raw/lnRR/data/simdat_00054.rds"
"109","rma.uni",0,NA,NA,3.26377026424136,0.208890247966715,0.0421089967855532,7.02383320854884e-07,0.0351163061924387,"lnRR_tau2=0.04_moderate",55,55,"lnRR","results/raw/lnRR/data/simdat_00055.rds"
"110","glmmTMB_RE",0.25,NA,NA,3.26377026424135,0.208890247966659,0.0421090445126693,7.02403653515236e-07,0.0351163062026161,"lnRR_tau2=0.04_moderate",55,55,"lnRR","results/raw/lnRR/data/simdat_00055.rds"
"111","rma.uni",0,NA,NA,6.95276992068423,0.193664756269293,0.0346968859474826,2.38291570175385e-08,0.0237295030991235,"lnRR_tau2=0.04_moderate",56,56,"lnRR","results/raw/lnRR/data/simdat_00056.rds"
"112","glmmTMB_RE",0.229999999999997,NA,NA,6.95276992068424,0.193664756267211,0.0346970284112534,2.38322977922235e-08,0.0237295032625837,"lnRR_tau2=0.04_moderate",56,56,"lnRR","results/raw/lnRR/data/simdat_00056.rds"
"113","rma.uni",0.0200000000000031,NA,NA,-2.89774923713069,0.287494777647512,0.0582388034433999,7.95445659767462e-07,0.0675151239796649,"lnRR_tau2=0.04_moderate",57,57,"lnRR","results/raw/lnRR/data/simdat_00057.rds"
"114","glmmTMB_RE",0.229999999999997,NA,NA,-2.8977492371307,0.287494777647366,0.058238863470383,7.95466402613705e-07,0.0675151240182817,"lnRR_tau2=0.04_moderate",57,57,"lnRR","results/raw/lnRR/data/simdat_00057.rds"
"115","rma.uni",0,NA,NA,-0.48888089425785,0.303371150751454,0.051312092622942,3.37416646509928e-09,0.0523598105037323,"lnRR_tau2=0.04_moderate",58,58,"lnRR","results/raw/lnRR/data/simdat_00058.rds"
